opponent_school,opponent,score,result,date
University of Oregon,Lenn Luemkemann,6-3 5-3,UF,03/28/25
Northwestern University,Saiprakash Goli,5-7 3-3,UF,03/22/25
University of Illinois at Urbana-Champaign,Kenta (2004) Miyoshi,6-7(5) 1-5,UF,03/20/25
Purdue University,Aleksa Krivokapic,4-6 6-3 1-0(3),W,03/08/25
Indiana University,Deacon Thomas,6-2 6-4,W,03/06/25
University of Southern California,Peter Makk,6-2 6-3,W,02/21/25
Pepperdine University,Edward Winter,6-4 0-6 2-6,L,02/15/25
"University of California, Berkeley",Carl Emil Overbeck,7-6(7) 3-6 4-6,L,01/31/25
University of Georgia,Ryan Colby,6-2 6-3,W,01/25/25
Texas A&M University,Jerry Roddick,3-6 6-2 3-6,L,01/24/25
University of San Diego,Iiro Vasa,6-3 7-6(5),W,01/19/25
"University of California, Irvine",Andy Nguyen,6-4 6-3,W,01/16/25
"University of California, Irvine",Andy Nguyen,6-4 6-3,W,01/16/25
,Aadarsh Tripathi,6-2 6-1,W,10/20/25
