Event Name,Date,Player1,Player1 UTR,Player2,Player2 UTR,Score,Searched Name
"Dual Match: University of California, Los Angeles vs University of San Diego - Men",2026-02-25,Stian Klaassen,13.36,Gianluca Ballotta,12.0,"6-2, 6-4",Gianluca Ballotta
"Dual Match: University of California, Los Angeles vs University of Nevada, Las Vegas",2026-02-14,Gianluca Ballotta,12.0,Taiyo Hirano,12.0,"7-6, 6-2",Gianluca Ballotta
"Dual Match: University of California, Santa Barbara vs University of California, Los Angeles",2026-01-23,Charlie Underwood,12.0,Gianluca Ballotta,12.0,"6-3, 6-2",Gianluca Ballotta
"Dual Match: University of New Mexico vs University of California, Los Angeles",2026-01-22,Gianluca Ballotta,12.0,ALBERTO PEREZ MELLADO,12.0,"2-6, 6-0",Gianluca Ballotta
"Dual Match: University of California, Irvine vs University of California, Los Angeles",2026-01-16,Gianluca Ballotta,12.0,Rui Ning Huang,12.0,"6-1, 6-2",Gianluca Ballotta
2025 ITA Conference Masters Championships,2025-11-08,Winston Wooin Lee,12.0,Gianluca Ballotta,12.0,"7-5, 7-5",Gianluca Ballotta
Jack Kramer Club Hidden Dual,2025-11-01,Eugenio Gonzalez,12.53,Gianluca Ballotta,12.0,"6-3, 6-4",Gianluca Ballotta
Jack Kramer Club Hidden Dual,2025-11-01,Gianluca Ballotta,12.0,Luc Hoeijmans,12.0,"2-6, 6-1, 1-0(8)",Gianluca Ballotta
Jack Kramer Club Hidden Dual,2025-11-01,Gianluca Ballotta,12.0,Terence Prahil Das,11.0,"6-1, 6-2",Gianluca Ballotta
2025 ITA DI Men's Southwest Regional Championships,2025-10-20,Gianluca Ballotta,12.0,Lucas IBARRONDO,11.0,"6-3, 6-0",Gianluca Ballotta
2025 ITA DI Men's Southwest Regional Championships,2025-10-20,Sasha Rozin,13.54,Gianluca Ballotta,12.0,"7-6(5), 6-4",Gianluca Ballotta
Sherwood Collegiate Cup,2025-09-27,Adam Chodur,12.0,Gianluca Ballotta,12.0,"5-7, 6-4, 1-0(4)",Gianluca Ballotta
Sherwood Collegiate Cup,2025-09-27,Gianluca Ballotta,12.0,Jean-Baptiste Badon,13.0,"6-4, 6-2",Gianluca Ballotta
"Dual Match: University of California, Los Angeles vs University of Michigan",2025-04-10,Gianluca Ballotta,12.0,Alex Cairo,12.0,"6-3, 6-2",Gianluca Ballotta
"Dual Match: University of Oregon vs University of California, Los Angeles",2025-03-28,Gianluca Ballotta,12.0,Matthew Burton,12.0,"3-6, 6-2, 1-1",Gianluca Ballotta
"Dual Match: University of California, Los Angeles vs Northwestern University",2025-03-22,Chad Miller,12.0,Gianluca Ballotta,12.0,"4-6, 6-3",Gianluca Ballotta
"Dual Match: University of California, Los Angeles vs University of Illinois at Urbana-Champaign",2025-03-20,Mathis Debru,12.65,Gianluca Ballotta,12.0,"6-4, 6-4",Gianluca Ballotta
"Dual Match: Purdue University vs University of California, Los Angeles",2025-03-08,Gianluca Ballotta,12.0,Maj Premzl,12.45,"6-2, 7-6(4)",Gianluca Ballotta
"Dual Match: Indiana University vs University of California, Los Angeles",2025-03-06,Gianluca Ballotta,12.0,Karan Raghavendra,11.0,"6-2, 6-2",Gianluca Ballotta
"Dual Match: University of Southern California vs University of California, Los Angeles",2025-02-21,Karl Kazuma Lee,13.07,Gianluca Ballotta,12.0,"7-5, 2-6, 6-2",Gianluca Ballotta
"Dual Match: Pepperdine University vs University of California, Los Angeles",2025-02-15,Gianluca Ballotta,12.0,David Fix,12.95,"6-7(7), 7-6(3), 5-4",Gianluca Ballotta
"Dual Match: Stanford University vs University of California, Los Angeles",2025-02-01,Gianluca Ballotta,12.0,Alexander Razeghi,13.63,"6-4, 6-7(9), 1-0",Gianluca Ballotta
"Dual Match: University of California, Berkeley vs University of California, Los Angeles",2025-01-31,Bernardo Munk Mesa,13.42,Gianluca Ballotta,12.0,"7-6(5), 6-4",Gianluca Ballotta
2024 ITA Division I Men's West Sectional,2024-11-19,Timofey Stepanov,13.45,Gianluca Ballotta,12.0,"6-0, 7-6(3)",Gianluca Ballotta
2024 ITA DI Men's Southwest Regional Championships,2024-10-21,Savriyan Danilov,13.38,Gianluca Ballotta,12.0,"6-3, 4-6, 6-3",Gianluca Ballotta
2024 ITA DI Men's Southwest Regional Championships,2024-10-21,Gianluca Ballotta,12.0,Oskar Jansson,13.09,"6-4, 6-2",Gianluca Ballotta
2024 ITA DI Men's Southwest Regional Championships,2024-10-21,Gianluca Ballotta,12.0,Charlie Underwood,12.0,"7-5, 6-2",Gianluca Ballotta
2024 ITA Men's All-American Championships,2024-09-28,Togan Tokac,13.0,Gianluca Ballotta,12.0,"6-7(7), 6-1, 6-4",Gianluca Ballotta
M25 Arequipa,2024-08-21,Peter Bertran,13.36,Gianluca Ballotta,12.0,"6-4, 6-3",Gianluca Ballotta
M25 Arequipa,2024-08-13,Matias Soto,14.11,Gianluca Ballotta,12.0,"6-3, 6-4",Gianluca Ballotta
"Dual Match: University of California, Los Angeles vs University of Texas at Austin",2024-05-03,Jonah Braswell,13.2,Gianluca Ballotta,12.0,"6-4, 3-3",Gianluca Ballotta
"Dual Match: Louisiana State University vs University of California, Los Angeles",2024-05-02,Gianluca Ballotta,12.0,Chen Dong,13.2,"6-4, 6-4",Gianluca Ballotta
"Dual Match: University of Oregon vs University of California, Los Angeles",2024-04-24,Lenn Luemkemann,12.0,Gianluca Ballotta,12.0,"6-4, 7-5",Gianluca Ballotta
"Dual Match: University of California, Los Angeles vs University of Utah",2024-04-18,Gianluca Citadini,12.0,Gianluca Ballotta,12.0,"7-5, 0-6, 1-2",Gianluca Ballotta
"Dual Match: University of Southern California vs University of California, Los Angeles",2024-04-15,Gianluca Ballotta,12.0,Samuel Rubell,0.0,"6-3, 2-6, 6-2",Gianluca Ballotta
"Dual Match: Stanford University vs University of California, Los Angeles",2024-04-11,Neel Rajesh,0.0,Gianluca Ballotta,12.0,"7-5, 6-3",Gianluca Ballotta
"Dual Match: University of California, Los Angeles vs University of Washington",2024-04-06,Gianluca Ballotta,12.0,Ivan Šodan,12.69,"4-6, 6-4",Gianluca Ballotta
"Dual Match: University of California, Los Angeles vs University of Oregon",2024-04-04,Yi Jui Lo,0.0,Gianluca Ballotta,12.0,"6-4, 7-6(5)",Gianluca Ballotta
"Dual Match: University of California, Los Angeles vs University of Southern California",2024-03-28,Gianluca Ballotta,12.0,Samuel Rubell,0.0,"4-6, 6-4, 0-3",Gianluca Ballotta
"Dual Match: University of Arizona vs University of California, Los Angeles",2024-03-23,Herman Hoeyeraal,13.2,Gianluca Ballotta,12.0,"4-6, 6-2, 7-6(2)",Gianluca Ballotta
"Dual Match: Arizona State University vs University of California, Los Angeles",2024-03-21,Gianluca Ballotta,12.0,Jacob Bullard,13.0,"4-6, 6-2, 6-2",Gianluca Ballotta
"Dual Match: Harvard University vs University of California, Los Angeles",2024-03-16,Gianluca Ballotta,12.0,Melchior DELLOYE,12.0,"6-1, 7-5",Gianluca Ballotta
"Dual Match: Texas Christian University vs University of California, Los Angeles",2024-03-12,Lui Maxted,14.03,Gianluca Ballotta,12.0,"6-2, 6-2",Gianluca Ballotta
"Dual Match: Columbia University vs University of California, Los Angeles",2024-03-10,Max Westphal,13.18,Gianluca Ballotta,12.0,"6-4, 6-2",Gianluca Ballotta
"Dual Match: University of California, Irvine vs University of California, Los Angeles",2024-03-06,Gianluca Ballotta,12.0,Rithvik Krishna,12.0,"7-6(3), 6-1",Gianluca Ballotta
"Dual Match: University of California, Los Angeles vs Pepperdine University",2024-02-17,Maximilian Homberg,13.15,Gianluca Ballotta,12.0,"6-4, 7-5",Gianluca Ballotta
"Dual Match: Texas A&M University vs University of California, Los Angeles (UCLA)",2024-01-16,Gianluca Ballotta,12.0,Luke Casper,12.0,"6-4, 3-6, 1-0(6)",Gianluca Ballotta
Sherwood Collegiate Cup 2024,2024-01-14,Gianluca Ballotta,12.0,Samuel Rubell,0.0,"7-5, 6-2",Gianluca Ballotta
Sherwood Collegiate Cup 2024,2024-01-14,Giulio Perego,13.13,Gianluca Ballotta,12.0,"6-3, 6-1",Gianluca Ballotta
Sherwood Collegiate Cup 2024,2024-01-14,Alexander Chang,13.11,Gianluca Ballotta,12.0,"6-1, 6-0",Gianluca Ballotta
2023 ITA DI Men's Southwest Regional Championships,2023-10-22,Gianluca Ballotta,12.0,Carson Lee,12.0,"6-2, 7-5",Gianluca Ballotta
"ATP Challenger Lima, Peru",2023-08-21,Matias Franco Descotte,12.0,Gianluca Ballotta,12.0,"6-3, 6-1",Gianluca Ballotta
"ATP Challenger Lima, Peru",2023-08-20,Gianluca Ballotta,12.0,Johan Alexander Rodriguez,13.54,"6-4, 3-6, 6-2",Gianluca Ballotta
M25 Trujillo,2023-08-15,Matias Soto,14.11,Gianluca Ballotta,12.0,"7-5, 4-6, 6-3",Gianluca Ballotta
M15 Arequipa,2023-08-09,Ignacio Antonio Becerra Otarola,12.73,Gianluca Ballotta,12.0,"6-4, 6-1",Gianluca Ballotta
M15 Arequipa,2023-08-08,Gianluca Ballotta,12.0,Alejandro Hoyos Franco,11.0,"6-3, 6-4",Gianluca Ballotta
Dual Match: Northwestern University vs Ucla,2023-05-04,Gianluca Ballotta,12.0,Presley Thieneman,0.0,"6-3, 6-1",Gianluca Ballotta
Dual Match: UCLA vs Utah,2023-04-26,Gianluca Ballotta,12.0,Berk BUGARIKJ,13.0,"7-6(4), 5-0",Gianluca Ballotta
Dual Match: UCLA vs Utah,2023-04-21,Gianluca Ballotta,12.0,Berk BUGARIKJ,13.0,"6-0, 6-4",Gianluca Ballotta
Dual Match: UCLA vs Usc,2023-04-18,Gianluca Ballotta,12.0,Bradley Frye,0.0,"7-5, 4-1",Gianluca Ballotta
Dual Match: UCLA vs Uc San Diego,2023-04-16,Gianluca Ballotta,12.0,Charles Qian,11.0,"6-1, 4-3",Gianluca Ballotta
Dual Match: University of Oregon vs Ucla,2023-04-14,Vlad Cristian Breazu,13.32,Gianluca Ballotta,12.0,"4-6, 3-5",Gianluca Ballotta
Dual Match: UCLA vs Washington,2023-04-13,Gianluca Ballotta,12.0,Jim Hendrikx,12.53,"6-4, 6-0",Gianluca Ballotta
Dual Match: UCLA vs Stanford,2023-04-07,Neel Rajesh,0.0,Gianluca Ballotta,12.0,"7-6(1), 6-2",Gianluca Ballotta
Dual Match: UCLA vs California,2023-04-06,Philip Hjorth,12.67,Gianluca Ballotta,12.0,"6-1, 6-2",Gianluca Ballotta
Dual Match: Arizona State University vs Ucla,2023-04-01,Gianluca Ballotta,12.0,Spencer Brachman,0.0,"6-1, 7-5",Gianluca Ballotta
UCLA at University of Arizona,2023-03-31,Gianluca Ballotta,12.0,Jay Dylan Hara Friend,14.33,"6-1, 1-6, 2-2",Gianluca Ballotta
Dual Match: UCLA vs Oklahoma State,2023-03-17,Gianluca Ballotta,12.0,Francisco Pini,0.0,"7-5, 6-2",Gianluca Ballotta
Columbia University at UCLA,2023-03-16,Henry Ruger,0.0,Gianluca Ballotta,12.0,"6-3, 5-7, 0-2",Gianluca Ballotta
Dual Match: UCLA vs Yale,2023-03-12,Gianluca Ballotta,12.0,Aidan Reilly,0.0,"7-6(3), 7-5",Gianluca Ballotta
Dual Match: UCLA vs Tcu,2023-03-10,Tomas JIROUSEK,0.0,Gianluca Ballotta,12.0,"6-4, 7-5",Gianluca Ballotta
University of Pennsylvania at UCLA,2023-03-08,Gianluca Ballotta,12.0,Baylor Sai,11.0,"6-3, 4-6, 6-4",Gianluca Ballotta
Dual Match: University of Southern California vs UCLA,2023-02-28,Ryan Colby,13.54,Gianluca Ballotta,12.0,"6-2, 0-6, 4-3",Gianluca Ballotta
Dual Match: UCLA vs UC Irvine,2023-02-10,Gianluca Ballotta,12.0,Thomas Smart,0.0,"7-5, 6-0",Gianluca Ballotta
Sherwood Cup,2023-01-12,Gianluca Ballotta,12.0,Rahul Dhokia,12.35,"6-3, 3-6, 6-3",Gianluca Ballotta
Sherwood Cup,2023-01-12,Karl Kazuma Lee,13.07,Gianluca Ballotta,12.0,"6-7(7), 7-5, 6-0",Gianluca Ballotta
M15 Lima,2022-11-16,Alberto Odiseo Alvarado Berrospi,12.24,Gianluca Ballotta,12.0,"6-1, 6-2",Gianluca Ballotta
M15 Lima,2022-11-09,Arklon Huertas Del Pino Cordova,13.1,Gianluca Ballotta,12.0,"6-3, 6-4",Gianluca Ballotta
"ATP Challenger Lima 2, Peru",2022-10-23,Miljan Zekic,13.25,Gianluca Ballotta,12.0,"6-3, 6-2",Gianluca Ballotta
US Open Junior Championships,2022-09-09,Gilles Arnaud Bailly,14.26,Gianluca Ballotta,12.0,"6-2, 6-1",Gianluca Ballotta
M15 Cancun,2022-08-24,Alan Fernando Rubio Fierros,13.46,Gianluca Ballotta,12.0,"7-6(2), 6-1",Gianluca Ballotta
"ATP Challenger Lima, Peru",2022-08-08,Alejandro Hoyos Franco,11.0,Gianluca Ballotta,12.0,"7-6, 6-4",Gianluca Ballotta
J2 Bogotá,2022-07-23,Gianluca Ballotta,12.0,Segundo Goity Zapico,12.62,"6-1, 6-3",Gianluca Ballotta
J2 Bogotá,2022-07-23,Fernando Cavallo,13.18,Gianluca Ballotta,12.0,"7-6, 7-6",Gianluca Ballotta
J2 Bogotá,2022-07-23,Gianluca Ballotta,12.0,Duncan Chan,13.9,"6-1, 7-5",Gianluca Ballotta
J2 Bogotá,2022-07-23,Gianluca Ballotta,12.0,Simon Andres Ojeda Viloria,10.0,"6-0, 7-5",Gianluca Ballotta
J2 Bogotá,2022-07-23,Gianluca Ballotta,12.0,Matvey Greschner,11.35,"6-3, 6-3",Gianluca Ballotta
J2 Castricum,2022-07-02,Lorenzo Carboni,13.8,Gianluca Ballotta,12.0,"6-0, 2-0",Gianluca Ballotta
J2 Bruchkoebel,2022-06-25,Gianluca Ballotta,12.0,Taym Al Azmeh,13.0,"0-6, 6-2, 6-1",Gianluca Ballotta
J2 Bruchkoebel,2022-06-25,Gianluca Ballotta,12.0,Filip Apltauer,13.0,"7-6, 6-3",Gianluca Ballotta
J2 Bruchkoebel,2022-06-25,Mihai Alexandru Coman,12.86,Gianluca Ballotta,12.0,"6-1, 7-5",Gianluca Ballotta
J2 Bruchkoebel,2022-06-25,Gianluca Ballotta,12.0,Albert Pedrico Kravtsov,13.28,"7-6, 7-6",Gianluca Ballotta
J2 Gladbeck,2022-06-17,Gianluca Ballotta,12.0,Aayush P Bhat,12.06,"6-3, 6-0",Gianluca Ballotta
J2 Gladbeck,2022-06-17,Gianluca Ballotta,12.0,Peter Buldorini,13.15,"6-3, 6-3",Gianluca Ballotta
J2 Gladbeck,2022-06-17,Gianluca Ballotta,12.0,Jelani Sarr,12.0,"6-2, 6-2",Gianluca Ballotta
J2 Gladbeck,2022-06-17,Gianluca Ballotta,12.0,Jan Kobierski,12.69,"7-6, 6-2",Gianluca Ballotta
J2 Gladbeck,2022-06-17,Gianluca Ballotta,12.0,Adriano Dzhenev,12.0,"7-6, 6-2",Gianluca Ballotta
J1 Bamberg,2022-06-11,Gianluca Ballotta,12.0,Justin Engel,14.16,"6-2, 7-6",Gianluca Ballotta
J1 Bamberg,2022-06-11,Matthew William Donald,13.83,Gianluca Ballotta,12.0,"3-6, 6-0, 6-3",Gianluca Ballotta
J3 Lima,2022-05-13,Gianluca Ballotta,12.0,Luis Jose Nakamine,12.75,"6-2, 6-0",Gianluca Ballotta
J3 Lima,2022-05-13,Gianluca Ballotta,12.0,Stiles Brockett,13.0,"6-0, 6-7, 6-2",Gianluca Ballotta
J3 Lima,2022-05-13,Gianluca Ballotta,12.0,Cyrus Mahjoob,12.81,"6-2, 6-3",Gianluca Ballotta
J3 Lima,2022-05-13,Gianluca Ballotta,12.0,Kaua Lopes Cressoni,11.0,"6-2, 6-0",Gianluca Ballotta
J3 Lima,2022-05-13,Gianluca Ballotta,12.0,Rocco Mariani,11.0,"6-0, 6-2",Gianluca Ballotta
J4 Lima,2022-05-06,Gianluca Ballotta,12.0,Gabriel Ticona Sainz,0.0,"6-0, 6-1",Gianluca Ballotta
J4 Lima,2022-05-06,Gianluca Ballotta,12.0,Thiago DROZDOWSKI,11.0,"6-1, 6-1",Gianluca Ballotta
J4 Lima,2022-05-06,Gianluca Ballotta,12.0,Stiles Brockett,13.0,"6-1, 6-0",Gianluca Ballotta
J4 Lima,2022-05-06,Gianluca Ballotta,12.0,Fernando Cavallo,13.18,"7-6, 6-1",Gianluca Ballotta
J4 Lima,2022-05-06,Gianluca Ballotta,12.0,Cyrus Mahjoob,12.81,"7-5, 6-1",Gianluca Ballotta
JB1 Lima,2022-04-08,Gianluca Ballotta,12.0,Martin Antonio Vergara Del Puerto,12.0,"6-1, 6-0",Gianluca Ballotta
JB1 Lima,2022-04-08,Gonzalo Bueno,14.19,Gianluca Ballotta,12.0,"6-1, 6-4",Gianluca Ballotta
JB1 Lima,2022-04-08,Gianluca Ballotta,12.0,Juan Manuel La Serna,13.93,"6-0, 6-2",Gianluca Ballotta
JB1 Lima,2022-04-08,Gianluca Ballotta,12.0,Nicolas Villalon Valdes,13.24,"6-1, 6-1",Gianluca Ballotta
JA Criciuma,2022-02-25,Bor Artnak,13.72,Gianluca Ballotta,12.0,"6-2, 6-0",Gianluca Ballotta
J1 Porto Alegre,2022-02-19,Gianluca Ballotta,12.0,Kurt Miller,11.0,"2-6, 6-2, 6-4",Gianluca Ballotta
J1 Porto Alegre,2022-02-19,Lautaro Midon,14.11,Gianluca Ballotta,12.0,"3-6, 6-0, 6-1",Gianluca Ballotta
J1 Lima,2022-02-04,Enrique Pena,11.0,Gianluca Ballotta,12.0,"3-6, 6-4, 6-0",Gianluca Ballotta
J1 Salinas,2022-01-28,Jules Leroux,13.27,Gianluca Ballotta,12.0,"6-1, 7-6",Gianluca Ballotta
J1 Barranquilla,2022-01-21,Michal Krajci,13.74,Gianluca Ballotta,12.0,"6-3, 6-1",Gianluca Ballotta
JA Plantation,2021-12-11,Gianluca Ballotta,12.0,Ty Switzer,0.0,"6-1, 6-2",Gianluca Ballotta
J1 Bradenton - Eddie Herr,2021-12-04,Yannik Rahman,13.16,Gianluca Ballotta,12.0,"5-7, 7-5",Gianluca Ballotta
JA Merida,2021-11-26,Timothy Phung,11.0,Gianluca Ballotta,12.0,"6-3, 3-6, 6-1",Gianluca Ballotta
J1 Guadalajara,2021-11-19,Gianluca Ballotta,12.0,Luca Lemaitre Vilchis,12.0,"6-3, 7-5",Gianluca Ballotta
J1 Guadalajara,2021-11-19,Joseph Phillips,12.0,Gianluca Ballotta,12.0,"7-6, 6-3",Gianluca Ballotta
J2 Santa Cruz,2021-11-05,Gianluca Ballotta,12.0,Gonzalo Zeitune,11.92,"6-3, 6-3",Gianluca Ballotta
J2 Santa Cruz,2021-11-05,Juan Manuel La Serna,13.93,Gianluca Ballotta,12.0,"6-3, 6-0",Gianluca Ballotta
J2 Santa Cruz,2021-11-05,Gianluca Ballotta,12.0,Juan Carlos Prado Angelo,14.26,"6-4, 1-6, 6-0",Gianluca Ballotta
J2 Santa Cruz,2021-11-05,Gianluca Ballotta,12.0,Armando Sotelo,11.0,"6-1, 6-1",Gianluca Ballotta
J2 Santa Cruz,2021-11-05,Gianluca Ballotta,12.0,Enrique Pena,11.0,"6-2, 6-1",Gianluca Ballotta
"ATP Challenger Lima 2, Peru",2021-10-24,Lucas CATARINA,0.0,Gianluca Ballotta,12.0,"6-3, 7-5",Gianluca Ballotta
M25 Lima,2021-10-13,Gonzalo Bueno,14.19,Gianluca Ballotta,12.0,"6-1, 4-6, 6-4",Gianluca Ballotta
M25 Lima,2021-10-07,Daniel Dutra Da Silva,14.05,Gianluca Ballotta,12.0,"6-0, 6-1",Gianluca Ballotta
M25 Lima,2021-10-06,Gianluca Ballotta,12.0,Giulio Colacioppo,10.0,"6-1, 6-4",Gianluca Ballotta
"ATP Challenger Lima, Peru",2021-09-26,Johan Nikles,13.78,Gianluca Ballotta,12.0,"6-0, 6-3",Gianluca Ballotta
J1 College Park,2021-08-27,Meecah Bigun,11.0,Gianluca Ballotta,12.0,"6-4, 6-2",Gianluca Ballotta
J3 Santo Domingo,2021-07-23,Gianluca Ballotta,12.0,Aram Noroozian,13.0,"6-3, 2-1",Gianluca Ballotta
J3 Santo Domingo,2021-07-23,Tiago Pereira,13.9,Gianluca Ballotta,12.0,"7-5, 6-4",Gianluca Ballotta
J3 Santo Domingo,2021-07-16,Sean Daryabeigi,13.0,Gianluca Ballotta,12.0,"6-1, 6-2",Gianluca Ballotta
J3 Santo Domingo,2021-07-16,Gianluca Ballotta,12.0,Manuel Ramon Espinal Plaza,8.0,"6-0, 6-1",Gianluca Ballotta
3er torneo primera,2021-07-05,Gianluca Ballotta,12.0,Diego Ramos,0.0,"6-3, 6-1",Gianluca Ballotta
3er torneo primera,2021-07-05,Jorge Cavero,11.0,Gianluca Ballotta,12.0,"5-7, 6-3, 7-6(4)",Gianluca Ballotta
2do CTO PRIMERA CAT. FDPT,2021-06-13,Gianluca Ballotta,12.0,Alonso Garcia,0.0,"6-1, 6-2",Gianluca Ballotta
2do CTO PRIMERA CAT. FDPT,2021-06-13,Duilio Beretta,0.0,Gianluca Ballotta,12.0,"6-4, 6-0",Gianluca Ballotta
1er torneo primera.,2021-05-16,Brian Panta,0.0,Gianluca Ballotta,12.0,"7-5, 6-4",Gianluca Ballotta
1er torneo primera.,2021-05-16,Gianluca Ballotta,12.0,Huauya Marco Antonio Inga,11.0,"6-3, 6-3",Gianluca Ballotta
1er torneo primera.,2021-05-16,Gianluca Ballotta,12.0,Jorge Lituma,9.0,"6-1, 2-6, 6-2",Gianluca Ballotta
J4 Lima,2021-05-07,Gianluca Ballotta,12.0,Ezequiel Arce Gonzalez,0.0,"6-0, 6-2",Gianluca Ballotta
J4 Lima,2021-05-07,Gianluca Ballotta,12.0,Juan Ignacio Lombisano,11.0,"6-1, 6-4",Gianluca Ballotta
J4 Lima,2021-05-07,Gianluca Ballotta,12.0,Kurt Miller,11.0,"6-1, 6-3",Gianluca Ballotta
J4 Lima,2021-05-07,Gianluca Ballotta,12.0,Ignacio Buse,15.03,"6-3, 6-4",Gianluca Ballotta
J4 Lima,2021-05-07,Gianluca Ballotta,12.0,Christopher Li,13.0,"6-1, 6-1",Gianluca Ballotta
J4 Lima,2021-04-30,Gianluca Citadini,12.0,Gianluca Ballotta,12.0,"6-0, 6-1",Gianluca Ballotta
J4 Lima,2021-04-30,Gianluca Ballotta,12.0,Sebastian Carpio,11.0,"6-1, 6-4",Gianluca Ballotta
J4 Lima,2021-04-30,Gianluca Ballotta,12.0,Mathias Llantoy,9.0,"6-1, 6-0",Gianluca Ballotta
J4 Lima,2021-04-30,Gianluca Ballotta,12.0,Thiago Horacio Messa,10.0,"6-1, 6-4",Gianluca Ballotta
JB1 Armenia,2021-03-26,Gianluca Ballotta,12.0,Felipe Lopez Comper,0.0,"6-1, 6-3",Gianluca Ballotta
JB1 Armenia,2021-03-26,Johan Alexander Rodriguez,13.54,Gianluca Ballotta,12.0,"6-1, 3-6, 6-0",Gianluca Ballotta
J1 Barranquilla,2021-03-19,Samir Banerjee,13.84,Gianluca Ballotta,12.0,"6-0, 6-2",Gianluca Ballotta
J1 Barranquilla,2021-03-19,Gianluca Ballotta,12.0,Jhoan Sebastian Vaquero,11.0,"6-3, 6-3",Gianluca Ballotta
J5 Santa Tecla,2021-03-05,Gianluca Ballotta,12.0,Gianluca Citadini,12.0,"4-6, 6-4, 6-2",Gianluca Ballotta
J5 Santa Tecla,2021-03-05,Gianluca Ballotta,12.0,Kael Shalin Shah,12.0,"4-6, 6-4, 6-0",Gianluca Ballotta
J5 Santa Tecla,2021-03-05,Gianluca Ballotta,12.0,Jonathan Irwanto,12.0,"6-2, 6-3",Gianluca Ballotta
J5 Santa Tecla,2021-03-05,Gianluca Ballotta,12.0,Juan Manuel La Serna,13.93,"1-6, 6-4, 6-3",Gianluca Ballotta
J5 Santa Tecla,2021-03-05,Gianluca Ballotta,12.0,Felipe Lopez Comper,0.0,"6-4, 6-4",Gianluca Ballotta
J4 La Libertad,2021-02-26,Cooper Williams,13.75,Gianluca Ballotta,12.0,"4-6, 7-6, 6-1",Gianluca Ballotta
J4 Guatemala City,2021-02-19,Gianluca Ballotta,12.0,Marcos Castellanos,11.0,"6-0, 6-3",Gianluca Ballotta
J4 Guatemala City,2021-02-19,Sebastian Sec,13.0,Gianluca Ballotta,12.0,"6-3, 6-4",Gianluca Ballotta
J5 Lima,2020-12-18,Gianluca Ballotta,12.0,Juan Cruz Alcon,11.0,"6-1, 6-0",Gianluca Ballotta
J5 Lima,2020-12-18,Ignacio Buse,15.03,Gianluca Ballotta,12.0,"6-2, 4-6, 6-2",Gianluca Ballotta
J5 Lima,2020-12-18,Gianluca Ballotta,12.0,Benjamin Torrealba,13.09,"6-2, 6-0",Gianluca Ballotta
J5 Lima,2020-12-18,Gianluca Ballotta,12.0,Nicolas Villalon Valdes,13.24,"6-4, 6-4",Gianluca Ballotta
J5 Lima,2020-12-18,Gianluca Ballotta,12.0,Joao Fonseca,15.56,3-0,Gianluca Ballotta
16s and 18s Orange Bowl International Tennis Championships,2020-12-11,Gianluca Ballotta,12.0,Meethre Barot,11.0,"6-0, 6-2",Gianluca Ballotta
16s and 18s Orange Bowl International Tennis Championships,2020-12-11,Gianluca Ballotta,12.0,Nikita Filin,13.71,"6-1, 6-0",Gianluca Ballotta
"ATP Challenger Lima, Peru",2020-11-21,Sergio GALDOS,0.0,Gianluca Ballotta,12.0,"4-6, 6-4, 6-1",Gianluca Ballotta
Bk2 - LH Fase Final,2020-11-26,Gianluca Ballotta,12.0,Mauricio Gutierrez,0.0,"4-0, 4-3(5)",Gianluca Ballotta
Bk2 - LH Fase Final,2020-11-26,Gianluca Ballotta,12.0,Jose Antonio Velasco,10.0,"4-2, 4-3(0)",Gianluca Ballotta
Bk2 - LH Fase Final,2020-11-25,Gianluca Ballotta,12.0,Diego Cueto,10.0,"4-2, 4-1",Gianluca Ballotta
Bk2 - LH Fase Final,2020-11-25,Gianluca Ballotta,12.0,Michela Castro Zunino,9.61,"4-0, 4-0",Gianluca Ballotta
REGATAS UTR JUNIOR - 1,2020-09-18,Gonzalo Bueno,14.19,Gianluca Ballotta,12.0,"6-0, 6-0",Gianluca Ballotta
REGATAS UTR JUNIOR - 1,2020-09-18,Gianluca Ballotta,12.0,Alonso Garcia,0.0,,Gianluca Ballotta
REGATAS UTR JUNIOR - 1,2020-09-16,Gianluca Ballotta,12.0,Diego serra sparrow,0.0,"7-5, 7-5",Gianluca Ballotta
REGATAS UTR JUNIOR - 1,2020-09-15,Gianluca Ballotta,12.0,Nicolas Llosa,0.0,"6-4, 6-4",Gianluca Ballotta
REGATAS UTR JUNIOR - 1,2020-09-15,Gianluca Ballotta,12.0,Ignacio Buse,15.03,,Gianluca Ballotta
J4 Llanos de Curundu,2020-03-13,Gianluca Ballotta,12.0,Jose Miguel Roa Rodriguez,9.0,"6-3, 6-3",Gianluca Ballotta
J4 Llanos de Curundu,2020-03-13,Lorenzo Esquici,12.0,Gianluca Ballotta,12.0,"6-4, 6-3",Gianluca Ballotta
II Cto 1ra 2020 FDPT,2020-02-23,Sergio Monges,0.0,Gianluca Ballotta,12.0,"6-3, 6-0",Gianluca Ballotta
II Cto 1ra 2020 FDPT,2020-02-23,Gianluca Ballotta,12.0,Jimmy Grados,0.0,"6-0, 6-0",Gianluca Ballotta
II Cto 1ra 2020 FDPT,2020-02-23,Gianluca Ballotta,12.0,Carlos Daniel Monrroy Ollague,10.0,"6-0, 6-0",Gianluca Ballotta
M25 Lima,2020-02-09,Yuanfeng Li,0.0,Gianluca Ballotta,12.0,"6-3, 6-1",Gianluca Ballotta
